상호명,상권업종소분류명,시군구명,행정동명,지번주소,도로명주소,경도,위도
띠아모서홍점,카페,서귀포시,서홍동,제주특별자치도 서귀포시 서홍동 290-2,제주특별자치도 서귀포시 중앙로195번길 2,126.558611,33.262086
제주설심당협재점,카페,제주시,한림읍,제주특별자치도 제주시 한림읍 협재리 1721-1,제주특별자치도 제주시 한림읍 한림로 371,126.242852,33.395903
루마인;퍼즈;투썸플레이스제주루마인점,카페,제주시,구좌읍,제주특별자치도 제주시 구좌읍 종달리 624,제주특별자치도 제주시 구좌읍 해맞이해안로 2498,126.901323,33.484196
플로베일배움터,카페,제주시,연동,제주특별자치도 제주시 연동 2331-5,제주특별자치도 제주시 도령로 113,126.489333,33.492208
두갓,카페,제주시,노형동,제주특별자치도 제주시 해안동 2363-1,제주특별자치도 제주시 해안마을북길 13-39,126.449306,33.464602
야야,카페,제주시,조천읍,제주특별자치도 제주시 조천읍 함덕리 215-2,제주특별자치도 제주시 조천읍 조함해안로 580,126.673488,33.543987
이디야위미점,카페,서귀포시,남원읍,제주특별자치도 서귀포시 남원읍 위미리 3160,제주특별자치도 서귀포시 남원읍 태위로 88,126.65685,33.274162
투썸플레이스신화빌라스점,카페,서귀포시,안덕면,제주특별자치도 서귀포시 안덕면 서광리 2518,제주특별자치도 서귀포시 안덕면 신화역사로304번길 139,126.317529,33.301379
컴포즈커피서귀포서광점,카페,서귀포시,안덕면,제주특별자치도 서귀포시 안덕면 서광리 716-7,제주특별자치도 서귀포시 안덕면 중산간서로 1880,126.322273,33.289134
하루이수다,카페,제주시,구좌읍,제주특별자치도 제주시 구좌읍 세화리 1248-3,제주특별자치도 제주시 구좌읍 세화남1길 3,126.855967,33.519143
제주빽다방,카페,제주시,이도2동,제주특별자치도 제주시 이도이동 1981-2,제주특별자치도 제주시 남광로2길 43-13,126.541103,33.489959
동문카페,카페,제주시,건입동,제주특별자치도 제주시 건입동 1421-8,제주특별자치도 제주시 중앙로 26,126.524519,33.515943
에프터글로우,카페,제주시,아라동,제주특별자치도 제주시 아라이동 1200-2,제주특별자치도 제주시 간월동로 67-3,126.549384,33.488664
당당,카페,제주시,애월읍,제주특별자치도 제주시 애월읍 신엄리 1212-1,제주특별자치도 제주시 애월읍 중엄안1길 25,126.370881,33.474443
미니핏다이어트,카페,제주시,조천읍,제주특별자치도 제주시 조천읍 신촌리 1792-1,제주특별자치도 제주시 조천읍 신북로 60,126.620624,33.533721
드릴러스커피,카페,제주시,외도동,제주특별자치도 제주시 도평동 781,제주특별자치도 제주시 우평로 137,126.451438,33.479722
진가커피,카페,제주시,연동,제주특별자치도 제주시 연동 251-66,제주특별자치도 제주시 제원1길 32,126.486142,33.489563
모나미카페,카페,제주시,노형동,제주특별자치도 제주시 노형동 933-15,제주특별자치도 제주시 원노형남1길 25,126.48315,33.484114
플리,카페,서귀포시,천지동,제주특별자치도 서귀포시 서홍동 561-6,제주특별자치도 서귀포시 남성중로 169,126.5527,33.246872
디원나인세븐D197,카페,제주시,이호동,제주특별자치도 제주시 이호일동 319-1,제주특별자치도 제주시 도리중길 37-9,126.462847,33.501617
세탁쏘,카페,제주시,삼도1동,제주특별자치도 제주시 삼도일동 549-19,제주특별자치도 제주시 서사로19길 15,126.521403,33.501271
디저트팩토리제주쇠소깍점,카페,서귀포시,효돈동,제주특별자치도 서귀포시 하효동 951-1,제주특별자치도 서귀포시 효돈순환로 217-3,126.621396,33.256856
아슬로즈,카페,제주시,노형동,제주특별자치도 제주시 노형동 1036-9,제주특별자치도 제주시 다랑곶4길 70,126.476415,33.491262
오하효,카페,서귀포시,효돈동,제주특별자치도 서귀포시 하효동 600,제주특별자치도 서귀포시 칠십리로 752,126.617758,33.259162
픽스커피공단점,카페,제주시,화북동,제주특별자치도 제주시 화북이동 948-6,제주특별자치도 제주시 청풍남8길 55,126.572046,33.514647
갈매기팸,카페,제주시,구좌읍,제주특별자치도 제주시 구좌읍 세화리 1477-2,제주특별자치도 제주시 구좌읍 해맞이해안로 1451,126.860629,33.524738
법환동커피,카페,서귀포시,대륜동,제주특별자치도 서귀포시 법환동 1275-7,제주특별자치도 서귀포시 이어도로 910,126.511882,33.237044
탐앤탐스신제주점,카페,제주시,연동,제주특별자치도 제주시 연동 262-4,제주특별자치도 제주시 신광로 52,126.489608,33.487449
필앤라이프제주,카페,제주시,구좌읍,제주특별자치도 제주시 구좌읍 하도리 730-1,제주특별자치도 제주시 구좌읍 하도7길 57,126.889469,33.515697
히포파운드,카페,제주시,노형동,제주특별자치도 제주시 노형동 3744-1,제주특별자치도 제주시 오광로 120,126.460482,33.485577
컴플렉스,카페,제주시,이도1동,제주특별자치도 제주시 이도일동 1401-1,제주특별자치도 제주시 중앙로14길 4,126.524124,33.511407
커피트리,카페,제주시,노형동,제주특별자치도 제주시 노형동 756-6,제주특별자치도 제주시 한라대학로 73,126.478107,33.476528
카페기지,카페,제주시,한경면,제주특별자치도 제주시 한경면 저지리 2114-21,제주특별자치도 제주시 한경면 저지12길 73-1,126.26451,33.338484
우리동네만화카페,카페,서귀포시,대정읍,제주특별자치도 서귀포시 대정읍 상모리 3961,제주특별자치도 서귀포시 대정읍 상모로 309-2,126.256394,33.222724
향다방,카페,제주시,구좌읍,제주특별자치도 제주시 구좌읍 세화리 1421-1,제주특별자치도 제주시 구좌읍 구좌로 44,126.856175,33.523164
모던플레이스,카페,서귀포시,예래동,제주특별자치도 서귀포시 상예동 185-1,제주특별자치도 서귀포시 상예로 262,126.394765,33.267924
무화과한입,카페,제주시,화북동,제주특별자치도 제주시 화북일동 1930-3,제주특별자치도 제주시 진서로 40,126.562848,33.522314
모슬포동백다방,카페,서귀포시,대정읍,제주특별자치도 서귀포시 대정읍 하모리 872-5,제주특별자치도 서귀포시 대정읍 하모이삼로 47,126.25274,33.223568
버스맨카페,카페,제주시,이도2동,제주특별자치도 제주시 이도이동 1058-12,제주특별자치도 제주시 연삼로 395,126.533758,33.495178
비선루,카페,제주시,한림읍,제주특별자치도 제주시 한림읍 협재리 1457,제주특별자치도 제주시 한림읍 협재1길 47-1,126.244534,33.399105
오늘종달,카페,제주시,구좌읍,제주특별자치도 제주시 구좌읍 종달리 477-1,제주특별자치도 제주시 구좌읍 해맞이해안로 2260,126.911627,33.498242
고흐의편지,카페,서귀포시,성산읍,제주특별자치도 서귀포시 성산읍 삼달리 1182,제주특별자치도 서귀포시 성산읍 삼달신풍로 132,126.84371,33.373383
세화탐나는도새기,카페,제주시,구좌읍,제주특별자치도 제주시 구좌읍 세화리 3645-7,제주특별자치도 제주시 구좌읍 세평항로 22,126.854084,33.525263
하얀산호카페,카페,제주시,우도면,제주특별자치도 제주시 우도면 연평리 2649-1,제주특별자치도 제주시 우도면 우도해안길 144,126.945033,33.49433
컴포즈커피서귀포창천점,카페,서귀포시,안덕면,제주특별자치도 서귀포시 안덕면 창천리 414-1,제주특별자치도 서귀포시 안덕면 일주서로 1399,126.36563,33.261278
제주기와,카페,제주시,애월읍,제주특별자치도 제주시 애월읍 광령리 3178,제주특별자치도 제주시 애월읍 광령남4길 45-1,126.425418,33.451132
신산리마을카페,카페,서귀포시,성산읍,제주특별자치도 서귀포시 성산읍 신산리 1130-2,제주특별자치도 서귀포시 성산읍 환해장성로 33,126.876824,33.37663
밤의테이블,카페,제주시,구좌읍,제주특별자치도 제주시 구좌읍 세화리 1538-2,제주특별자치도 제주시 구좌읍 구좌로 34,126.855077,33.52338
초록지붕,카페,제주시,한경면,제주특별자치도 제주시 한경면 저지리 3242-4,제주특별자치도 제주시 한경면 연명로 509,126.264398,33.31479
얼마나오렌지,카페,제주시,오라동,제주특별자치도 제주시 오라이동 196,제주특별자치도 제주시 오라남로 28,126.512258,33.458617
미주커피앤케이크,카페,제주시,이도1동,제주특별자치도 제주시 이도일동 1249-6,제주특별자치도 제주시 동광로5길 26,126.530795,33.503805
일광다방,카페,제주시,용담1동,제주특별자치도 제주시 용담일동 153-1,제주특별자치도 제주시 서사로 10,126.519269,33.511613
클랭블루,카페,제주시,한경면,제주특별자치도 제주시 한경면 신창리 1293-1,제주특별자치도 제주시 한경면 한경해안로 552-22,126.177316,33.344871
에이프릴,카페,제주시,노형동,제주특별자치도 제주시 노형동 735-6,제주특별자치도 제주시 진군1길 29,126.479061,33.478876
서은이네,카페,서귀포시,표선면,제주특별자치도 서귀포시 표선면 세화리 331-4,제주특별자치도 서귀포시 표선면 세성로 40,126.804714,33.309979
광령키즈북카페,카페,제주시,애월읍,제주특별자치도 제주시 애월읍 광령리 2258,제주특별자치도 제주시 애월읍 광성로 242-1,126.433408,33.459553
미쁜제과,카페,서귀포시,대정읍,제주특별자치도 서귀포시 대정읍 신도리 2349-13,제주특별자치도 서귀포시 대정읍 도원남로 16,126.180131,33.269137
이디야커피제주함덕해수욕장점,카페,제주시,조천읍,제주특별자치도 제주시 조천읍 함덕리 960-7,제주특별자치도 제주시 조천읍 함덕19길 9,126.67,33.541183
카페루시아,카페,서귀포시,안덕면,제주특별자치도 서귀포시 안덕면 창천리 840-1,제주특별자치도 서귀포시 안덕면 난드르로 49-17,126.363083,33.235217
하도미술관,카페,제주시,구좌읍,제주특별자치도 제주시 구좌읍 하도리 1091-60,제주특별자치도 제주시 구좌읍 하도13길 25,126.889153,33.510206
더벤티제주외도점,카페,제주시,외도동,제주특별자치도 제주시 외도일동 445-1,제주특별자치도 제주시 우정로4길 3-1,126.430436,33.49123
에이바우트커피삼화점,카페,제주시,화북동,제주특별자치도 제주시 화북일동 1069-1,제주특별자치도 제주시 동화로 56,126.572667,33.515415
더벤티커피고성교차로점,카페,서귀포시,성산읍,제주특별자치도 서귀포시 성산읍 고성리 1100-13,제주특별자치도 서귀포시 성산읍 일출로 4,126.913292,33.447104
파랑카페,카페,제주시,애월읍,제주특별자치도 제주시 애월읍 유수암리 1041-19,제주특별자치도 제주시 애월읍 유수암평화5길 53-2,126.404399,33.42311
아마니타,카페,서귀포시,표선면,제주특별자치도 서귀포시 표선면 표선리 551-1,제주특별자치도 서귀포시 표선면 표선중앙로 68,126.831624,33.326933
카페인,카페,서귀포시,표선면,제주특별자치도 서귀포시 표선면 표선리 484,제주특별자치도 서귀포시 표선면 표선동서로264번길 22,126.83593,33.327128
갤럭시아,카페,서귀포시,안덕면,제주특별자치도 서귀포시 안덕면 사계리 126-1,제주특별자치도 서귀포시 안덕면 사계남로216번길 29,126.310362,33.233809
디저트39제주연동,카페,제주시,연동,제주특별자치도 제주시 연동 1497,제주특별자치도 제주시 국기로 19,126.490007,33.479923
메가엠지씨커피제주,카페,제주시,봉개동,제주특별자치도 제주시 봉개동 1812-3,제주특별자치도 제주시 번영로 475,126.592938,33.491609
스노우빈,카페,제주시,조천읍,제주특별자치도 제주시 조천읍 교래리 579,제주특별자치도 제주시 조천읍 비자림로 702-41,126.679359,33.432276
스테이위드커피,카페,서귀포시,안덕면,제주특별자치도 서귀포시 안덕면 사계리 2147-1,제주특별자치도 서귀포시 안덕면 형제해안로 32,126.303264,33.227801
제주명월역,카페,제주시,한림읍,제주특별자치도 제주시 한림읍 명월리 1928,제주특별자치도 제주시 한림읍 명재로 142-11,126.262085,33.391655
퍼시몬,카페,제주시,애월읍,제주특별자치도 제주시 애월읍 유수암리 2578,제주특별자치도 제주시 애월읍 하소로 611-6,126.396884,33.429331
커뮤니티라운지,카페,제주시,일도1동,제주특별자치도 제주시 일도일동 1148-2,제주특별자치도 제주시 동문로 16,126.528314,33.512802
주파수,카페,제주시,이도2동,제주특별자치도 제주시 이도이동 1049-7,제주특별자치도 제주시 오복5길 5,126.536156,33.497478
로섬카페,카페,제주시,구좌읍,제주특별자치도 제주시 구좌읍 세화리 1476-5,제주특별자치도 제주시 구좌읍 해녀박물관길 33-2,126.861933,33.523964
밀팟제주,카페,제주시,이도2동,제주특별자치도 제주시 도남동 221-2,제주특별자치도 제주시 원남6길 58,126.529804,33.484164
서광리일이삼카페,카페,서귀포시,안덕면,제주특별자치도 서귀포시 안덕면 서광리 122,제주특별자치도 서귀포시 안덕면 중산간서로 1769,126.333333,33.285903
꼬엥,카페,제주시,이도1동,제주특별자치도 제주시 이도일동 1386-1,제주특별자치도 제주시 중앙로12길 6,126.523884,33.511992
희망써니트농장,카페,제주시,이도2동,제주특별자치도 제주시 이도이동 1953-3,제주특별자치도 제주시 신설로9길 42,126.547555,33.494806
현애원/카페이스틀리,카페,서귀포시,성산읍,제주특별자치도 서귀포시 성산읍 오조리 1052-4,제주특별자치도 서귀포시 성산읍 산성효자로114번길 131-1,126.9084,33.456072
더콘월티룸,카페,서귀포시,대정읍,제주특별자치도 서귀포시 대정읍 안성리 1788,제주특별자치도 서귀포시 대정읍 추사로38번길 106,126.278966,33.259111
우디글레이드,카페,서귀포시,송산동,제주특별자치도 서귀포시 서귀동 644-6,제주특별자치도 서귀포시 솔동산로 26-6,126.563226,33.242717
에이바우트커피도련점,카페,제주시,삼양동,제주특별자치도 제주시 도련일동 1917-4,제주특별자치도 제주시 건주로3길 11,126.581414,33.51613
공차제주,카페,제주시,이도2동,제주특별자치도 제주시 이도이동 1185-4,제주특별자치도 제주시 신성로13길 25,126.530223,33.498068
망고홀릭,카페,제주시,구좌읍,제주특별자치도 제주시 구좌읍 종달리 1094,제주특별자치도 제주시 구좌읍 종달논길 18,126.902581,33.494412
크래커스,카페,서귀포시,대정읍,제주특별자치도 서귀포시 대정읍 안성리 1858-1,제주특별자치도 서귀포시 대정읍 보성구억로126번길 34,126.279704,33.263289
한남307,카페,서귀포시,남원읍,제주특별자치도 서귀포시 남원읍 한남리 307-3,제주특별자치도 서귀포시 남원읍 한신로 55,126.699144,33.314033
사계절카페,카페,서귀포시,표선면,제주특별자치도 서귀포시 표선면 표선리 631-3,제주특별자치도 서귀포시 표선면 표선동서로 238,126.832498,33.325059
로빙화,카페,서귀포시,남원읍,제주특별자치도 서귀포시 남원읍 남원리 1398-7,제주특별자치도 서귀포시 남원읍 남태해안로 13,126.70926,33.275125
파생,카페,제주시,일도2동,제주특별자치도 제주시 일도이동 169-30,제주특별자치도 제주시 신산로11길 15,126.535736,33.507637
수망일기,카페,서귀포시,남원읍,제주특별자치도 서귀포시 남원읍 수망리 360-5,제주특별자치도 서귀포시 남원읍 남조로 593-2,126.712062,33.330374
토르토니,카페,서귀포시,천지동,제주특별자치도 서귀포시 서귀동 299-4,제주특별자치도 서귀포시 중앙로 81,126.560926,33.251906
에피소드,카페,제주시,애월읍,제주특별자치도 제주시 애월읍 하귀1리 189-10,제주특별자치도 제주시 애월읍 하귀동남1길 19,126.413302,33.485416
툇마루커피,카페,서귀포시,표선면,제주특별자치도 서귀포시 표선면 성읍리 813-4,제주특별자치도 서귀포시 표선면 성읍정의현로 53,126.801016,33.387387
그대가사는시간,카페,서귀포시,송산동,제주특별자치도 서귀포시 토평동 634-4,제주특별자치도 서귀포시 칠십리로 288,126.583341,33.24788
달보드레2,카페,제주시,화북동,제주특별자치도 제주시 화북이동 3477-1,제주특별자치도 제주시 연삼로 702,126.561447,33.509894
카페베네제주점,카페,제주시,노형동,제주특별자치도 제주시 노형동 708,제주특별자치도 제주시 연북로 1,126.481837,33.48244
모슬포3호텔커피숍,카페,서귀포시,대정읍,제주특별자치도 서귀포시 대정읍 하모리 2129-3,제주특별자치도 서귀포시 대정읍 최남단해안로30번길 15,126.250537,33.217739
흙먹는고양이,카페,제주시,구좌읍,제주특별자치도 제주시 구좌읍 한동리 8-8,제주특별자치도 제주시 구좌읍 계룡길 26-20,126.836512,33.538359
다다,카페,제주시,아라동,제주특별자치도 제주시 아라이동 3002-3,제주특별자치도 제주시 신설로6길 2-3,126.542581,33.493345
카페직,카페,제주시,이도2동,제주특별자치도 제주시 도남동 918-3,제주특별자치도 제주시 도남로7길 40,126.526959,33.496731
파이굽는돌담집,카페,제주시,아라동,제주특별자치도 제주시 아라일동 6054-11,제주특별자치도 제주시 아란9길 48,126.540432,33.472258
이매커피,카페,서귀포시,대천동,제주특별자치도 서귀포시 강정동 155-4,제주특별자치도 서귀포시 신서귀로51번길 32,126.508061,33.254629
업소명없음,카페,제주시,삼도2동,제주특별자치도 제주시 삼도이동 72-3,제주특별자치도 제주시 관덕로 32-1,126.522726,33.513078
에스피피,카페,서귀포시,성산읍,제주특별자치도 서귀포시 성산읍 고성리 559-1,제주특별자치도 서귀포시 성산읍 신양로122번길 17,126.921972,33.435245
카페인섭지코지,카페,서귀포시,성산읍,제주특별자치도 서귀포시 성산읍 고성리 224-18,제주특별자치도 서귀포시 성산읍 섭지코지로 63,126.9224,33.437021
이큐티,카페,제주시,아라동,제주특별자치도 제주시 아라일동 6148-5,제주특별자치도 제주시 인다13길 28,126.548586,33.472387
구닮,카페,서귀포시,안덕면,제주특별자치도 서귀포시 안덕면 사계리 177-1,제주특별자치도 서귀포시 안덕면 산방로 210,126.312712,33.236437
카페로드,카페,제주시,노형동,제주특별자치도 제주시 노형동 908-5,제주특별자치도 제주시 원노형로 13,126.484755,33.487465
무인카페서반,카페,제주시,일도2동,제주특별자치도 제주시 일도이동 132-44,제주특별자치도 제주시 고마로 21,126.538756,33.512382
델문도인김녕,카페,제주시,구좌읍,제주특별자치도 제주시 구좌읍 김녕리 462-15,제주특별자치도 제주시 구좌읍 해맞이해안로 140,126.768402,33.563405
가는곶세화,카페,제주시,구좌읍,제주특별자치도 제주시 구좌읍 세화리 1355-3,제주특별자치도 제주시 구좌읍 세화14길 3,126.860679,33.520501
뷰스트,카페,서귀포시,안덕면,제주특별자치도 서귀포시 안덕면 사계리 2147-2,제주특별자치도 서귀포시 안덕면 형제해안로 30,126.303479,33.227775
빽다방신,카페,서귀포시,대천동,제주특별자치도 서귀포시 강정동 154-3,제주특별자치도 서귀포시 신중로 26-8,126.507728,33.254718
앙데팡당,카페,제주시,애월읍,제주특별자치도 제주시 애월읍 신엄리 2838,제주특별자치도 제주시 애월읍 신엄안3길 136-5,126.353663,33.473625
오크라,카페,서귀포시,표선면,제주특별자치도 서귀포시 표선면 하천리 1415,제주특별자치도 서귀포시 표선면 번영로 3189,126.820184,33.364218
서귀피안,카페,서귀포시,대륜동,제주특별자치도 서귀포시 서호동 5,제주특별자치도 서귀포시 서호호근로46번길 68,126.528838,33.248425
조식,카페,제주시,애월읍,제주특별자치도 제주시 애월읍 어음리 3459-1,제주특별자치도 제주시 애월읍 어림비로 272,126.333189,33.410531
에이바우트,카페,제주시,아라동,제주특별자치도 제주시 영평동 2169-17,제주특별자치도 제주시 첨단로 227,126.571644,33.452138
LA만화,카페,서귀포시,천지동,제주특별자치도 서귀포시 서귀동 330-1,제주특별자치도 서귀포시 일주동로 8717,126.557147,33.252298
볼수록제주,카페,제주시,애월읍,제주특별자치도 제주시 애월읍 수산리 511,제주특별자치도 제주시 애월읍 하소로 154-1,126.393225,33.468307
더벤티제주삼화점,카페,제주시,삼양동,제주특별자치도 제주시 도련일동 1938-3,제주특별자치도 제주시 건주로4길 6-8,126.580292,33.516767
워터라이프,카페,서귀포시,대륜동,제주특별자치도 서귀포시 서호동 1551-9,제주특별자치도 서귀포시 서호남로32번길 10-4,126.515204,33.249626
월림공간올드보이,카페,제주시,한림읍,제주특별자치도 제주시 한림읍 월림리 115-99,제주특별자치도 제주시 한림읍 저지14길 72-17,126.268206,33.342275
모레기동타잔,카페,서귀포시,영천동,제주특별자치도 서귀포시 상효동 1391-1,제주특별자치도 서귀포시 배낭골로21번길 13,126.591711,33.291655
에어그라운드,카페,서귀포시,남원읍,제주특별자치도 서귀포시 남원읍 태흥리 1145-1,제주특별자치도 서귀포시 남원읍 남태해안로 439,126.746562,33.28205
허커피로스터스,카페,제주시,노형동,제주특별자치도 제주시 노형동 2524-6,제주특별자치도 제주시 정존5길 9,126.474009,33.483453
컴포즈커피제주삼화점,카페,제주시,화북동,제주특별자치도 제주시 화북일동 1023-5,제주특별자치도 제주시 화삼로 21,126.575438,33.514433
어보브앤비욘드,카페,제주시,애월읍,제주특별자치도 제주시 애월읍 애월리 2477,제주특별자치도 제주시 애월읍 애월로1길 19-8,126.310702,33.461808
휴메인제주성산지점,카페,서귀포시,성산읍,제주특별자치도 서귀포시 성산읍 삼달리 437-1,제주특별자치도 서귀포시 성산읍 삼달로 148,126.853855,33.372755
에이바우트제대,카페,제주시,아라동,제주특별자치도 제주시 아라일동 368-72,제주특별자치도 제주시 산천단동2길 16,126.558515,33.449315
